gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_bend
ENSMUSG00000074194	0.0035939536521638	0.0129249914405661	-0.375202266743387	126.258741750019	5968	0.2779874213836478	2.4444275278779353	0.713860581714725	False
ENSMUSG00000054967	0.0035940218908384	0.0129249914405661	0.367631467338917	136.141973696041	5969	0.27803400885161894	2.4444192819734645	0.7138140219917682	False
ENSMUSG00000071984	0.0035975953390215	0.0129356753010781	-0.453780087236069	330.383756189217	5970	0.27808059631959003	2.443987688103711	0.7137688734209425	False
ENSMUSG00000111147	0.0036031438700971	0.0129534560903541	-0.911763435836608	15.9660666858404	5971	0.2781271837875611	2.4433183965669008	0.7137245171713203	False
ENSMUSG00000105044	0.0036040517286366	0.0129545503025643	-0.809965460504469	16.4475220959115	5972	0.2781737712555323	2.443208984257845	0.7136782946678593	False
ENSMUSG00000053898	0.0036058776025332	0.0129589433477277	-0.145276830791176	3409.45327713002	5973	0.27822035872350337	2.442989019002022	0.7136324406721962	False
ENSMUSG00000095440	0.0036073944017224	0.0129622243433836	-0.237287458106707	372.404078089903	5974	0.2782669461914745	2.44280637303294	0.7135864622795942	False
ENSMUSG00000025193	0.0036087979257558	0.0129650972843976	-0.262819632444	168.644501716715	5975	0.2783135336594456	2.442637435531569	0.7135404381923509	False
ENSMUSG00000030030	0.0036143786276489	0.0129829738321807	0.160412377634886	473.789673120814	5976	0.2783601211274167	2.4419663544631076	0.7134960879078015	False
ENSMUSG00000031617	0.0036219843563604	0.0130081171480062	-0.147905080073591	9102.11044778899	5977	0.27840670859538785	2.441053429770449	0.7134525437642368	False
ENSMUSG00000057716	0.0036256740838229	0.0130191903451562	-0.240860867325307	5907.10398900916	5978	0.27845329606335895	2.440611237736056	0.7134074305204323	False
ENSMUSG00000047638	0.0036431300627255	0.0130796838813291	1.58116539572875	6.09339223054794	5979	0.2784998835313301	2.438525323812796	0.7133677963194874	False
ENSMUSG00000059326	0.00364607981955	0.013088085185027	0.267217939502331	413.74744975823	5980	0.2785464709993012	2.4381738280533227	0.7133223807564275	False
ENSMUSG00000037652	0.0036494114108117	0.0130978540953828	-0.16685691075527	2613.20902273154	5981	0.2785930584672723	2.437777174351521	0.7132771157190153	False
ENSMUSG00000040569	0.0036500295967546	0.0130978828692635	-1.09604348975178	758.534447346949	5982	0.27863964593524343	2.4377036139941852	0.7132307737097051	False
ENSMUSG00000026069	0.0036577609883302	0.0131234326216777	0.709253043437973	71.0192424636603	5983	0.2786862334032145	2.4367846763447347	0.7131872496092198	False
ENSMUSG00000044562	0.0036593672922554	0.0131270017205139	0.247113450525951	498.32546026559	5984	0.27873282087118567	2.436593998003334	0.713141297991045	False
ENSMUSG00000032475	0.0036633074843431	0.0131389404275539	-0.140940854518403	1241.74078106519	5985	0.27877940833915676	2.4361266267493367	0.7130962686775114	False
ENSMUSG00000013629	0.00366774948978	0.0131526746654891	0.1811943075142	1044.01158436572	5986	0.27882599580712786	2.4356003346491053	0.7130514357657196	False
ENSMUSG00000052415	0.0036700730746907	0.0131587448689288	0.658141243746248	68.810294174056	5987	0.278872583275099	2.4353252884402843	0.7130057653722244	False
ENSMUSG00000070304	0.0036709262131229	0.0131587448689288	-0.188028313166883	3609.68766941867	5988	0.2789191707430701	2.4352243448764597	0.7129595146397678	False
