source_gene_symbol	source_log2fc_control	source_padj_control	source_log2fc_cko	source_padj_cko	source_rss_shift	source_symbol_norm	source_rss_sign	source_rss_abs_ge_0_3	matched_our_tested_universe	significant_wt_side	significant_cko_side	present_wt_bendpoint	present_cko_bendpoint	present_shared_bendpoint	present_wt_only_bendpoint	present_cko_only_bendpoint	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table	analysis_membership	selected_wt_source_constrained_bendpoint	selected_cko_source_constrained_bendpoint	selected_shared_source_constrained_bendpoint	selected_wt_only_source_constrained_bendpoint	selected_cko_only_source_constrained_bendpoint	source_constrained_membership
GM31831	4.97316081291686	4.30073190536841e-21	6.35524320717273	2.92576176233805e-15	1.3820823942558702	GM31831	positive	True	True	True	True	False	False	False	False	False	False	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM11945	-1.27721156023713	0.0379716131010899	0.104559791811367	0.906684586340898	1.3817713520484969	GM11945	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM2446	-1.52708418761051	0.00678132636749842	-0.147785062833124	0.870362004706841	1.3792991247773858	GM2446	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM9293	1.00582214581825	0.193424621763881	2.3765709355749	0.00259922079241869	1.37074878975665	GM9293	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
FMO9	0.834209048483725	0.214557032146267	2.16352873422559	0.000324869778382706	1.329319685741865	FMO9	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
VMN2R-PS131	-1.31365849670187	0.0102641359077629	0.0109782721048619	0.9893371647009	1.324636768806732	VMN2R-PS131	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
ROBO3	-1.18678638919483	0.0113397217350716	0.113999025040235	0.874803132905851	1.300785414235065	ROBO3	positive	True	True	True	False	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
IL24	3.50072183495985	0.000314602140999633	4.79000152144402	2.00053294879796e-05	1.2892796864841696	IL24	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
IL17F	1.53089187600109	0.0952713383552174	2.8018299386101	0.00455002644868967	1.27093806260901	IL17F	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
CIB3	-0.31684602668848	0.558959188281474	0.926558203772515	0.0322043936221408	1.243404230460995	CIB3	positive	True	True	False	False	False	False	False	False	False	True	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
GM13310	0.279193907583827	0.763123606576542	1.52139350076491	0.0201567968879422	1.242199593181083	GM13310	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
PSG17	-2.26130886196072	0.0426745663968565	-1.03098460547927	0.37897429046411	1.2303242564814498	PSG17	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
WNT3A	-1.33377446748028	0.0307572330333579	-0.114497270539914	0.894858281427045	1.219277196940366	WNT3A	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
LIPN	3.05495207479567	1.38848430759806e-05	4.27163240658388	3.3645434085623e-08	1.2166803317882096	LIPN	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
NPY	3.5833735459939	1.43148613281397e-07	4.79989514313513	9.95418407154939e-13	1.21652159714123	NPY	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	True	False	False	True	cKO-only source-constrained bend-point
GM56671	2.91491235008025	1.47003736610671e-13	4.13121991452876	1.03440383268906e-16	1.2163075644485102	GM56671	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM44430	-1.96589029994358	0.00443472560549502	-0.75622757137018	0.300187214095163	1.2096627285734	GM44430	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM13194	-1.10632447732653	0.047017287346258	0.0855963881252293	0.91718854004584	1.1919208654517592	GM13194	positive	True	True	False	False	False	False	False	False	False	True	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
TRBC2	0.672616672329444	0.42460548763329	1.86343006994205	0.00484699178398536	1.190813397612606	TRBC2	positive	True	True	False	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
OAS1E	2.89255934649966	1.99666219457591e-10	4.08044315366515	4.52112205671257e-14	1.1878838071654898	OAS1E	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	True	False	False	True	cKO-only source-constrained bend-point
KRT2	-0.0885937257463638	0.905271168713004	1.08865172351718	0.0198355184230248	1.1772454492635438	KRT2	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM9369	1.15629177352641	0.114307225989312	2.32505566386503	0.000700677711127661	1.16876389033862	GM9369	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
PRSS56	5.52188984397371	8.63958164509149e-17	6.68858659919546	2.24493778285136e-11	1.16669675522175	PRSS56	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
PLEKHS1	-0.80705611266256	0.0487209619159175	0.344500174668037	0.47852133605442	1.1515562873305971	PLEKHS1	positive	True	True	False	False	False	False	False	False	False	True	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
GM7450	0.991278901838367	0.0117405401086517	2.118557079842	9.43474281731832e-08	1.1272781780036332	GM7450	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM44267	0.516746950457868	0.587761057083636	1.61746186904228	0.0325108016710412	1.100714918584412	GM44267	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM5761	-1.0610760085553	0.0436713849371274	0.0361333376358126	0.962480591431067	1.0972093461911125	GM5761	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
PRH1	4.50890637140077	0.00146905975353849	5.60264646298351	2.64579545136768e-05	1.09374009158274	PRH1	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM17749	1.14142452191383	0.233013447807762	2.2256254939097	0.0183250325591738	1.0842009719958703	GM17749	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM20614	-1.64822157988168	0.0185866043828196	-0.571734751586272	0.449056514040696	1.0764868282954079	GM20614	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
UBD	-2.22765750036747	0.0352859074562259	-1.15959202969134	0.365490506491275	1.06806547067613	UBD	positive	True	True	False	False	False	False	False	False	False	True	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
KRT13	-1.19419383890779	0.0413404283793605	-0.131465609247082	0.879973649649981	1.062728229660708	KRT13	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
CHST4	2.71505989133455	5.43446153807403e-15	3.77682998458764	4.44356261883406e-19	1.0617700932530902	CHST4	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM45885	0.389052500435423	0.584780563523495	1.44687555440253	0.0180393748487965	1.057823053967107	GM45885	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
VMN1R89	-2.38161035010481	0.00147852563808184	-1.32419145443511	0.0699815809369312	1.0574188956696997	VMN1R89	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
WFDC15B	-1.09352554743857	0.0241529658176972	-0.0376872107168897	0.960916362205067	1.0558383367216801	WFDC15B	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM46329	0.5578240157021	0.491432106768032	1.59565486110784	0.0255432687868466	1.03783084540574	GM46329	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
MISFADT	-1.13360694498808	0.0150283524888484	-0.0963134925606073	0.895537821452246	1.0372934524274726	MISFADT	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
ABHD16B	1.02328602403686	0.182519385878517	2.05881108949785	0.00354043858829618	1.03552506546099	ABHD16B	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM11827	-1.67080748707758	0.0316218621344778	-0.640087329094216	0.382603043172007	1.030720157983364	GM11827	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
CD207	3.54087698970461	1.47287812219795e-42	4.52501367867959	7.69924272225866e-50	0.9841366889749801	CD207	positive	True	True	True	True	True	True	True	False	False	True	True	False	shared WT/cKO bend-point	True	True	True	False	False	shared source-constrained bend-point
IL6	3.31743510142868	2.42080214354895e-41	4.29974811862375	2.95683479588147e-42	0.9823130171950702	IL6	positive	True	True	True	True	True	True	True	False	False	True	True	False	shared WT/cKO bend-point	True	True	True	False	False	shared source-constrained bend-point
KPRP	7.74031869965204	3.76682467317423e-15	8.71924435842428	5.44384553514033e-19	0.9789256587722406	KPRP	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	True	False	False	True	cKO-only source-constrained bend-point
GM32255	0.67934981260449	0.251545001148408	1.63475995456073	0.00207720532575485	0.9554101419562401	GM32255	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM10601	-1.0909275370177	0.0140677465815363	-0.14684655530409	0.812121449445384	0.9440809817136101	GM10601	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
MIR935	0.668307924595066	0.133342457989697	1.61238443769639	0.000226636703888989	0.944076513101324	MIR935	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM45494	0.292344247473407	0.607158832661544	1.23011942421467	0.00291733748286593	0.937775176741263	GM45494	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
DUSP9	3.7986357694871	6.41963345477151e-44	4.72533269427622	1.44789675070589e-36	0.9266969247891206	DUSP9	positive	True	True	True	True	True	True	True	False	False	True	True	False	shared WT/cKO bend-point	True	True	True	False	False	shared source-constrained bend-point
CAR6	5.21534820911977	3.27211342243569e-13	6.14084512667263	1.99666781142934e-13	0.9254969175528602	CAR6	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
LCE1G	4.31988483775046	1.21534037522864e-48	5.23621122504233	2.27403729168687e-47	0.9163263872918694	LCE1G	positive	True	True	True	True	True	True	True	False	False	False	True	False	shared WT/cKO bend-point	True	True	True	False	False	shared source-constrained bend-point
GM56932	0.695826413722362	0.348837678548152	1.58993795567138	0.0169204894644951	0.894111541949018	GM56932	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM36723	-1.04970513275797	0.0162755492917513	-0.162065276828416	0.807458103434178	0.8876398559295541	GM36723	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
BPIFC	3.5080377812102	3.97321900520573e-22	4.37461911584874	1.28506460208604e-25	0.8665813346385405	BPIFC	positive	True	True	True	True	True	True	True	False	False	True	True	False	shared WT/cKO bend-point	False	True	False	False	True	cKO-only source-constrained bend-point
