branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
cKO/CRE	up	GO:0048523	negative regulation of cellular process	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	293
cKO/CRE	up	GO:0009966	regulation of signal transduction	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	173
WT/FF	up	GO:0042221	response to chemical	10	Ankrd1, Cited2, Clca1, Grp, Il6, Or8b53, Serpine1, Slamf1	169
WT/FF	up	GO:0009966	regulation of signal transduction	10	Ankrd1, Cited2, Dusp9, Grp, Il6, Plaur, Serpine1, Slamf1	148
WT/FF	up	GO:0009653	anatomical structure morphogenesis	10	Adm2, Ankrd1, Cited2, Hmx3, Il6, Krt6a, Plppr4, Satb2	134
cKO/CRE	up	GO:0009888	tissue development	10	2210017I01Rik, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Fgf3, Il6, Krt6a, Lce1g	113
cKO/CRE	up	GO:0009607	response to biotic stimulus	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1	101
cKO/CRE	up	GO:0043207	response to external biotic stimulus	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1	98
WT/FF	up	GO:0009888	tissue development	10	2210017I01Rik, Ankrd1, Cited2, Fgf3, Il6, Krt6a, Lce1g, Plaur	93
WT/FF	up	GO:0006952	defense response	10	Bpifc, Cckbr, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1	92
cKO/CRE	up	GO:0060255	regulation of macromolecule metabolic process	9	Adm2, Ankrd1, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	276
WT/FF	up	GO:0071840	cellular component organization or biogenesis	9	Ankrd1, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1, Slamf1	243
WT/FF	up	GO:0016043	cellular component organization	9	Ankrd1, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1, Slamf1	236
WT/FF	up	GO:0035556	intracellular signal transduction	9	Ankrd1, Cckbr, Cited2, Dusp9, Ecel1, Il6, Plaur, Slamf1	150
cKO/CRE	up	GO:0032879	regulation of localization	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	137
WT/FF	up	GO:0002376	immune system process	9	Bpifc, Cited2, Grp, Il6, Krt6a, Sectm1b, Serpine1, Slamf1	119
WT/FF	up	GO:0032879	regulation of localization	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	114
WT/FF	up	GO:0048584	positive regulation of response to stimulus	9	Ankrd1, Cckbr, Cited2, Grp, Il6, Plaur, Serpine1, Slamf1	109
cKO/CRE	up	GO:0051049	regulation of transport	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	109
cKO/CRE	up	GO:0044419	biological process involved in interspecies interaction between organisms	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1	106
cKO/CRE	up	GO:0051707	response to other organism	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1	97
WT/FF	up	GO:0051049	regulation of transport	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	94
WT/FF	up	GO:0009607	response to biotic stimulus	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1	82
WT/FF	up	GO:0043207	response to external biotic stimulus	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1	81
cKO/CRE	up	GO:0007267	cell-cell signaling	9	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn	69
cKO/CRE	up	GO:0019538	protein metabolic process	8	Clca1, Dusp9, ENSMUSG00000030223, Ecel1, Il6, Plaur, Serpine1, Ucn	247
cKO/CRE	up	GO:0009889	regulation of biosynthetic process	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	238
cKO/CRE	up	GO:0010556	regulation of macromolecule biosynthetic process	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	232
cKO/CRE	up	GO:0010468	regulation of gene expression	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	229
WT/FF	up	GO:0080090	regulation of primary metabolic process	8	Ankrd1, Cited2, Hmx3, Il6, Plaur, Satb2, Serpine1, Ucn	200
cKO/CRE	up	GO:0035556	intracellular signal transduction	8	Ankrd1, Cckbr, Dusp9, Ecel1, Il6, Plaur, Slamf1, Ucn	172
cKO/CRE	up	GO:0009653	anatomical structure morphogenesis	8	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plppr4, Serpine1	164
WT/FF	up	GO:0009893	positive regulation of metabolic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	163
cKO/CRE	up	GO:0007166	cell surface receptor signaling pathway	8	ENSMUSG00000030223, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1, Tmem88b	161
WT/FF	up	GO:0010604	positive regulation of macromolecule metabolic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	152
cKO/CRE	up	GO:0051128	regulation of cellular component organization	8	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn	144
WT/FF	up	GO:0007166	cell surface receptor signaling pathway	8	Cited2, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1, Tmem88b	139
cKO/CRE	up	GO:0048584	positive regulation of response to stimulus	8	Ankrd1, Cckbr, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	128
WT/FF	up	GO:0009891	positive regulation of biosynthetic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	124
WT/FF	up	GO:0010557	positive regulation of macromolecule biosynthetic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	122
cKO/CRE	up	GO:0048585	negative regulation of response to stimulus	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	115
cKO/CRE	up	GO:0010648	negative regulation of cell communication	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	106
cKO/CRE	up	GO:0023057	negative regulation of signaling	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	106
cKO/CRE	up	GO:0006955	immune response	8	Bpifc, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b, Slamf1	100
WT/FF	up	GO:0051240	positive regulation of multicellular organismal process	8	Adm2, Cckbr, Cited2, Grp, Il6, Serpine1, Slamf1, Ucn	92
WT/FF	up	GO:0023056	positive regulation of signaling	8	Ankrd1, Cckbr, Cited2, Grp, Il6, Plaur, Slamf1, Ucn	88
WT/FF	up	GO:0044419	biological process involved in interspecies interaction between organisms	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	88
WT/FF	up	GO:0010647	positive regulation of cell communication	8	Ankrd1, Cckbr, Cited2, Grp, Il6, Plaur, Slamf1, Ucn	87
WT/FF	up	GO:0051707	response to other organism	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	80
cKO/CRE	up	GO:0098542	defense response to other organism	8	Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1, Vgf	74
cKO/CRE	up	GO:0060429	epithelium development	8	2210017I01Rik, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Lce1g, Plaur, Serpine1	73
