branch	go_direction	native	name	rss_gene_count	example_rss_genes
WT/FF	up	GO:0048468	cell development	8	Ankrd1, Ccn4, Cited2, Il6, Plppr4, Satb2, Slamf1, Ucn
WT/FF	up	GO:0051128	regulation of cellular component organization	8	Ankrd1, Ccn4, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0051707	response to other organism	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf
WT/FF	up	GO:0080090	regulation of primary metabolic process	8	Ankrd1, Cited2, Hmx3, Il6, Plaur, Satb2, Serpine1, Ucn
cKO/CRE	up	GO:0006955	immune response	8	Bpifc, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b, Slamf1
cKO/CRE	up	GO:0007166	cell surface receptor signaling pathway	8	ENSMUSG00000030223, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1, Tmem88b
cKO/CRE	up	GO:0009653	anatomical structure morphogenesis	8	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plppr4, Serpine1
cKO/CRE	up	GO:0009889	regulation of biosynthetic process	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010468	regulation of gene expression	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010556	regulation of macromolecule biosynthetic process	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010648	negative regulation of cell communication	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
cKO/CRE	up	GO:0019538	protein metabolic process	8	Clca1, Dusp9, ENSMUSG00000030223, Ecel1, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0023057	negative regulation of signaling	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
cKO/CRE	up	GO:0032940	secretion by cell	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0035556	intracellular signal transduction	8	Ankrd1, Cckbr, Dusp9, Ecel1, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:0046903	secretion	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0048584	positive regulation of response to stimulus	8	Ankrd1, Cckbr, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0048585	negative regulation of response to stimulus	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
cKO/CRE	up	GO:0051128	regulation of cellular component organization	8	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0051241	negative regulation of multicellular organismal process	8	ENSMUSG00000030223, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0060429	epithelium development	8	2210017I01Rik, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Lce1g, Plaur, Serpine1
cKO/CRE	up	GO:0098542	defense response to other organism	8	Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1, Vgf
cKO/CRE	up	GO:0140352	export from cell	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0006915	apoptotic process	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0007399	nervous system development	7	Ankrd1, Cited2, Hmx3, Il6, Plppr4, Satb2, Ucn
WT/FF	up	GO:0008219	cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0009611	response to wounding	7	Angptl2, Ccn4, Il6, Krt6a, Plaur, Procr, Serpine1
WT/FF	up	GO:0009890	negative regulation of biosynthetic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0009892	negative regulation of metabolic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0010558	negative regulation of macromolecule biosynthetic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0010605	negative regulation of macromolecule metabolic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0010648	negative regulation of cell communication	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
WT/FF	up	GO:0012501	programmed cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0019538	protein metabolic process	7	Clca1, Dusp9, Ecel1, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0023057	negative regulation of signaling	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
WT/FF	up	GO:0032940	secretion by cell	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0042981	regulation of apoptotic process	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0043067	regulation of programmed cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0046903	secretion	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0048585	negative regulation of response to stimulus	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn
WT/FF	up	GO:0060429	epithelium development	7	2210017I01Rik, Cited2, Il6, Krt6a, Lce1g, Plaur, Serpine1
WT/FF	up	GO:0070887	cellular response to chemical stimulus	7	Ankrd1, Cited2, Clca1, Grp, Il6, Serpine1, Slamf1
WT/FF	up	GO:0080134	regulation of response to stress	7	Ankrd1, Cckbr, Ccn4, Grp, Plaur, Serpine1, Ucn
WT/FF	up	GO:0098542	defense response to other organism	7	Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf
WT/FF	up	GO:0140352	export from cell	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:1902531	regulation of intracellular signal transduction	7	Ankrd1, Cited2, Dusp9, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:0006915	apoptotic process	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0008219	cell death	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0009968	negative regulation of signal transduction	7	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b
